Career_ID,Career_Title,Career_Family,Level,Career_DNA_Primary,Career_DNA_Match_Score,Starting_Salary_Min_INR,Starting_Salary_Max_INR,Remote_Work_Score,Work_Life_Balance_Score,Job_Satisfaction_Score,Market_Demand_2026,Growth_Rate_Percent,Freelance_Opportunity
WK0022,Technical Lead,Technology & Software,Senior,Builder,"Builder: 3, Thinker: 2",1500000,3000000,90,7,7,Low,19,Medium
WK0023,Engineering Manager,Technology & Software,Manager,Builder,"Builder: 3, Thinker: 2",400000,1000000,60,5,7,Medium,9,Low
WK0024,VP Engineering,Technology & Software,Executive,Builder,"Builder: 3, Thinker: 2",400000,1000000,20,4,7,High,7,Low
WK0025,CTO,Technology & Software,Executive,Builder,"Builder: 3, Thinker: 2",400000,1000000,20,8,7,High,24,Low
WK0026,QA Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,90,7,7,Very High,19,Low
WK0027,Test Automation Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,8,9,Medium,19,Low
WK0028,SDET,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,9,Very High,10,Low
WK0029,Performance Test Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,7,8,High,18,High
WK0030,Security Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,7,6,High,6,Low
WK0031,Application Security Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,7,7,Very High,22,Medium
WK0032,Cloud Security Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,4,6,High,7,Medium
WK0033,Blockchain Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,90,7,8,High,14,Medium
WK0034,Smart Contract Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,20,6,9,Very High,12,Medium
WK0035,Cryptocurrency Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,8,9,Very High,11,Medium
WK0036,IoT Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,7,7,Medium,15,Medium
WK0037,Edge Computing Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,7,9,Medium,7,High
WK0038,WebAssembly Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,5,8,High,17,Low
WK0039,Progressive Web App Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,4,8,Very High,13,Low
WK0040,API Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,7,High,28,Low
WK0041,Integration Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,5,7,Very High,22,High
WK0042,Salesforce Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,6,7,High,13,Medium
WK0043,ServiceNow Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,20,6,7,Medium,12,Low
WK0044,SAP Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,8,6,High,6,Very High
WK0045,WordPress Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,8,9,High,9,High
WK0046,Shopify Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,20,7,6,High,14,High
WK0047,Drupal Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,6,6,Medium,18,Low
WK0048,Low-Code Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,8,9,High,12,High
WK0049,RPA Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,7,7,Very High,10,Low
WK0050,Automation Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,40,8,8,Medium,19,Medium
WK0051,Computer Vision Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,80,4,6,Very High,11,Low
WK0052,Robotics Software Engineer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,60,6,9,High,9,Medium
WK0053,AR/VR Developer,Technology & Software,Mid-Level,Builder,"Builder: 3, Thinker: 2",800000,1500000,90,6,9,High,21,High
WK0054,Data Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,5,7,Very High,14,Low
WK0055,Business Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,8,8,Very High,12,High
WK0056,Data Scientist,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,4,9,High,7,Medium
WK0057,Senior Data Scientist,Data & Analytics,Senior,Thinker,"Thinker: 3, Organizer: 2",2000000,4000000,40,4,8,Very High,11,Medium
WK0058,Machine Learning Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,5,9,High,10,Low
WK0059,ML Ops Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,4,8,Very High,12,Low
WK0060,AI Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,6,7,High,26,High
WK0061,Research Scientist,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,5,7,High,7,Low
WK0062,Deep Learning Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,4,6,High,6,Very High
WK0063,NLP Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,5,8,Medium,24,High
WK0064,Computer Vision Scientist,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,7,8,Medium,23,High
WK0065,Data Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,6,7,Medium,27,Very High
WK0066,Analytics Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,20,7,7,Very High,8,Low
WK0067,ETL Developer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,20,7,9,High,26,High
WK0068,Data Warehouse Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,4,8,High,27,High
WK0069,Big Data Engineer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,5,9,High,27,Medium
WK0070,Hadoop Developer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,5,7,Very High,19,Medium
WK0071,Spark Developer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,4,7,Very High,10,High
WK0072,Business Intelligence Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,6,6,High,9,High
WK0073,BI Developer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,5,8,Medium,26,Low
WK0074,Tableau Developer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,8,9,High,26,Low
WK0075,Power BI Developer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,7,8,High,13,Medium
WK0076,Looker Developer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,6,6,High,13,High
WK0077,Data Visualization Specialist,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,6,7,High,10,Low
WK0078,Quantitative Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,4,7,Medium,16,High
WK0079,Quant Researcher,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,8,8,Medium,28,Low
WK0080,Algorithmic Trader,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,8,8,Medium,13,Medium
WK0081,Data Architect,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,7,9,Medium,8,High
WK0082,Analytics Manager,Data & Analytics,Manager,Thinker,"Thinker: 3, Organizer: 2",400000,1000000,40,5,6,High,10,Medium
WK0083,Head of Data Science,Data & Analytics,Executive,Thinker,"Thinker: 3, Organizer: 2",400000,1000000,90,8,6,High,17,High
WK0084,Chief Data Officer,Data & Analytics,Executive,Thinker,"Thinker: 3, Organizer: 2",400000,1000000,60,5,8,Medium,12,High
WK0085,AI Product Manager,Data & Analytics,Manager,Thinker,"Thinker: 3, Organizer: 2",400000,1000000,40,6,9,Medium,15,Low
WK0086,ML Product Manager,Data & Analytics,Manager,Thinker,"Thinker: 3, Organizer: 2",400000,1000000,60,5,9,High,19,High
WK0087,Data Governance Specialist,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,6,7,High,18,High
WK0088,Data Quality Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,5,8,Medium,24,Very High
WK0089,Master Data Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,90,6,9,Very High,26,Low
WK0090,Marketing Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,7,9,Medium,6,Low
WK0091,Product Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,5,6,High,10,High
WK0092,Growth Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,20,8,8,Medium,12,Low
WK0093,Operations Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,4,8,High,26,Medium
WK0094,Financial Analyst (Data),Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,4,6,Very High,13,Low
WK0095,Risk Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,90,6,9,Very High,19,Low
WK0096,Fraud Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,5,9,Low,22,Medium
WK0097,Healthcare Data Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,6,9,High,25,High
WK0098,Clinical Data Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,90,7,9,Very High,7,Low
WK0099,Biostatistician,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,4,6,High,25,Medium
WK0100,Sports Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,90,4,8,High,12,Low
WK0101,Social Media Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,6,8,Very High,6,High
WK0102,Web Analytics Specialist,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,80,5,7,Medium,26,Low
WK0103,A/B Testing Specialist,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,40,8,8,High,18,High
WK0104,Experimentation Analyst,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,90,4,7,Medium,14,High
WK0105,Conversion Rate Optimizer,Data & Analytics,Mid-Level,Thinker,"Thinker: 3, Organizer: 2",1000000,2000000,60,5,8,Medium,23,High
WK0106,UX Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,6,8,Very High,20,High
WK0107,UI Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,6,8,Medium,10,High
WK0108,Product Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,8,9,High,12,Medium
WK0109,UX Researcher,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,7,6,High,23,Medium
WK0110,Interaction Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,90,6,6,Medium,5,Medium
WK0111,Visual Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,20,8,9,Medium,28,Medium
WK0112,Graphic Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,8,8,High,27,Medium
WK0113,Brand Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,20,6,7,Medium,16,Medium
WK0114,Motion Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,5,6,Very High,27,High
WK0115,Animation Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,4,8,Very High,15,Low
WK0116,3D Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,5,6,High,9,High
WK0117,UX Writer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,4,8,Very High,29,Low
WK0118,Content Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,6,6,High,23,Low
WK0119,Microcopy Writer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,8,7,High,11,High
WK0120,Design Systems Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,7,6,Very High,25,Very High
WK0121,Component Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,6,8,High,5,Low
WK0122,UI Engineer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,7,9,Medium,26,Very High
WK0123,Service Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,4,8,Medium,7,Low
WK0124,Experience Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,5,7,High,23,Very High
WK0125,Customer Experience Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,8,9,High,8,High
WK0126,Information Architect,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,5,8,Medium,24,Medium
WK0127,IA Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,5,8,High,23,High
WK0128,Navigation Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,7,7,Medium,17,Low
WK0129,Usability Engineer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,90,5,6,Low,28,Medium
WK0130,Human Factors Engineer,Design & User Experience,Executive,Creator,"Creator: 3, Connector: 2",400000,1000000,60,5,9,Very High,5,Low
WK0131,Ergonomics Specialist,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,6,7,High,27,Low
WK0132,UX Strategist,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,4,6,Very High,20,Low
WK0133,Design Strategist,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,7,6,High,13,Medium
WK0134,Creative Strategist,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,4,8,High,28,High
WK0135,Design Manager,Design & User Experience,Manager,Creator,"Creator: 3, Connector: 2",400000,1000000,40,5,6,Medium,27,Medium
WK0136,Design Lead,Design & User Experience,Senior,Creator,"Creator: 3, Connector: 2",1500000,2500000,40,5,9,High,16,Medium
WK0137,Head of Design,Design & User Experience,Executive,Creator,"Creator: 3, Connector: 2",400000,1000000,60,7,8,Medium,7,Medium
WK0138,VP Design,Design & User Experience,Executive,Creator,"Creator: 3, Connector: 2",400000,1000000,60,6,6,Medium,27,High
WK0139,Chief Design Officer,Design & User Experience,Executive,Creator,"Creator: 3, Connector: 2",400000,1000000,40,5,9,High,5,Medium
WK0140,Accessibility Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,7,8,Medium,21,Low
WK0141,Inclusive Design Specialist,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,20,8,6,Very High,9,Low
WK0142,Voice UI Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,20,7,8,Medium,16,Low
WK0143,Conversational Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,8,6,Low,22,Medium
WK0144,Chatbot Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,5,7,High,19,Very High
WK0145,AR/VR Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,4,8,Very High,24,High
WK0146,Spatial Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,4,8,High,28,Medium
WK0147,XR Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,5,9,Medium,25,Low
WK0148,Game UI/UX Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,6,8,Medium,25,Low
WK0149,Mobile UX Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,5,7,High,21,Medium
WK0150,Web Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,6,6,Medium,18,High
WK0151,Email Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,8,9,High,28,Medium
WK0152,Presentation Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,60,4,6,High,21,High
WK0153,Infographic Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,6,7,Very High,21,Medium
WK0154,Illustrator,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,5,7,Medium,12,Low
WK0155,Icon Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,40,4,7,Medium,15,Very High
WK0156,Logo Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,80,4,8,High,14,Medium
WK0157,Typography Designer,Design & User Experience,Mid-Level,Creator,"Creator: 3, Connector: 2",700000,1500000,20,7,6,Very High,18,Medium
WK0158,Associate Product Manager,Product Management,Junior,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,5,9,Low,17,Low
WK0159,Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,6,6,High,12,Low
WK0160,Senior Product Manager,Product Management,Senior,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,4,6,Very High,5,High
WK0161,Group Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,6,6,Very High,16,High
WK0162,VP Product,Product Management,Executive,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,4,9,Very High,12,Low
WK0163,CPO,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,5,7,Very High,26,High
WK0164,Chief Product Officer,Product Management,Executive,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,7,7,Low,27,Medium
WK0165,Technical Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,5,6,Very High,22,High
WK0166,Technical PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,8,6,High,17,Low
WK0167,Platform Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,5,9,High,12,High
WK0168,Growth Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,4,6,Medium,25,Medium
WK0169,Growth PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,5,6,Very High,11,High
WK0170,Activation PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,8,9,High,13,High
WK0171,Retention PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,6,9,Very High,16,Medium
WK0172,Analytics Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,8,8,Medium,25,Medium
WK0173,Data Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,6,6,High,6,Very High
WK0174,AI Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,6,8,Very High,20,Low
WK0175,Consumer Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,8,9,Medium,29,Low
WK0176,B2B Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,90,6,6,High,10,Low
WK0177,Enterprise PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,5,7,High,5,Low
WK0178,Hardware Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,4,8,High,12,High
WK0179,IoT Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,6,9,High,23,Medium
WK0180,Mobile Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,5,8,High,7,Low
WK0181,Web Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,6,8,High,27,Low
WK0182,E-commerce Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,4,8,Very High,27,High
WK0183,Marketplace PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,8,7,High,5,Medium
WK0184,Payments Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,4,6,High,28,Very High
WK0185,Fintech Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,4,6,High,21,Medium
WK0186,API Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,8,7,High,23,High
WK0187,Developer Tools PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,5,9,High,26,Medium
WK0188,Platform PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,6,9,Medium,22,Very High
WK0189,Infrastructure PM,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,6,7,High,20,High
WK0190,Product Owner,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,7,6,Very High,20,High
WK0191,Scrum Product Owner,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,4,8,Medium,12,Low
WK0192,Agile Product Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,5,7,Medium,8,Low
WK0193,Product Marketing Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,7,6,High,17,Very High
WK0194,Go-to-Market Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,40,5,7,Very High,27,Low
WK0195,Launch Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,7,6,Very High,13,Very High
WK0196,Product Operations Manager,Product Management,Manager,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,7,8,High,22,High
WK0197,Product Ops,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,20,7,8,High,12,Very High
WK0198,PMO Lead,Product Management,Senior,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,8,7,Very High,13,Low
WK0199,Product Strategy Lead,Product Management,Senior,Leader,"Leader: 3, Thinker: 2",400000,1000000,60,8,7,Very High,29,High
WK0200,Product Consultant,Product Management,Mid-Level,Leader,"Leader: 3, Thinker: 2",400000,1000000,80,5,9,High,11,Medium
